Name,Control,Region,Locale,Admission Rate,Undergrad Population,Average Cost,ACT Median,SAT Average,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Average Cost,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry,City School
University of Colorado Colorado Springs,Public,Rocky Mountains,Large City,0.91,8888,16707,23,1068,0.6854,0.0375,0.1412,0.0327,0.0055,0.0033,0.0577,0.0086,0.2185,16707,6820,7285,0.5355,0.3222,0.4598,0.7137,0.2405,12500,21000,8250,0.899999976,0.540000021,22.87000084,61852.58,48420,5.400000095,285,1704,41300,37300,1
University of New Mexico-Main Campus,Public,Southwest,Large City,0.6458,20847,16822,22,1038,0.37,0.0267,0.4482,0.0292,0.0602,0.0019,0.0328,0.01,0.1929,16822,11288,8938,0.6987,0.3846,0.4828,0.7769,0.2616,14164.5,20500,11432,0.730000019,0.790000021,23.96999931,39057.95,26437,15.77000046,1041,5241,37800,31900,1
University of Nebraska at Omaha,Public,Great Plains,Large City,0.7078,12153,16860,23,1070,0.7234,0.0652,0.0871,0.0267,0.0042,0.0012,0.0298,0.0315,0.2227,16860,7900,7860,0.4981,0.3252,0.4211,0.7476,0.2258,13631,21000,9200,0.910000026,0.5,21.67000008,67569.73,57671,5.360000134,220,2655,41700,38300,1
California State University-San Bernardino,Public,Far West,Mid-size City,0.5831,15887,17030,18,888,0.1743,0.0729,0.5549,0.0632,0.0025,0.0023,0.0283,0.0555,0.1065,17030,6585,8558,0.5046,0.5799,0.4112,0.8879,0.2094,16431,18482,12500,0.75,0.779999971,24.04000092,40191.82,28986.5,13.35999966,552,3762,42300,40600,1
University of South Alabama,Public,Southeast,Mid-size City,0.8604,11048,17125,23,1064,0.6374,0.229,0.0246,0.0337,0.0088,0.0018,0.0226,0.0284,0.2076,17125,10325,7212,0.6418,0.3743,0.3342,0.6787,0.2343,15000,25000,9500,0.899999976,0.639999986,23.69000053,45401.94,30958,12.5,413,2802,39900,34400,1
Brigham Young University-Provo,Private,Rocky Mountains,Mid-size City,0.4942,27765,17174,29,1277,0.8344,0.0047,0.0554,0.0198,0.0041,0.006,0.031,0.0323,0.0966,17174,13268,9649,0.7409,0.3578,0.7797,0.8461,0.122,9260.5,11000,7400,0.540000021,0.889999986,21.70000076,42156.62,20347,8.039999962,2217,6090,55500,47400,1
University of North Carolina at Greensboro,Public,Southeast,Large City,0.6002,14138,17362,23,1029,0.5752,0.2546,0.063,0.0431,0.0037,0.0011,0.0387,0.0174,0.1265,17362,8803,7926,0.821,0.4432,0.5541,0.7386,0.1957,16000,22500,9500,0.930000007,0.589999974,21.55999947,62041.39,50195,7.539999962,319,3143,35300,33300,1
University of Nevada-Las Vegas,Public,Far West,Mid-size City,0.8512,22742,17478,22,1003,0.3836,0.0762,0.2315,0.1634,0.003,0.0167,0.0759,0.037,0.2741,17478,8741,9986,1,0.3351,0.4288,0.7733,0.2531,12608,19491,10342,0.829999983,0.639999986,22.79999924,51263.5,36398.5,7.25,524,3684,42300,38800,1
Middle Tennessee State University,Public,Southeast,Mid-size City,0.6996,20914,17501,22,1011,0.6662,0.2066,0.0417,0.026,0.0033,0.001,0.0281,0.0144,0.1702,17501,7418,7029,0.7393,0.4485,0.4565,0.6838,0.2315,15000,22170.5,10250,0.879999995,0.589999974,22.07999992,57627.86,42980,7.849999905,597,5204,37100,33100,1
University of North Carolina at Charlotte,Public,Southeast,Large City,0.6852,21400,17767,23,1066,0.6135,0.1666,0.0743,0.0504,0.0038,0.0014,0.0326,0.0246,0.1447,17767,8855,8337,0.7211,0.4046,0.539,0.8038,0.1884,16500,23005,10166.5,0.920000017,0.560000002,21.90999985,64318,51983,6.769999981,435,4073,42600,38300,1
