Name,Control,Region,Locale,Admission Rate,Undergrad Population,Average Cost,ACT Median,SAT Average,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Average Cost,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry,City School
University of Wisconsin-Milwaukee,Public,Great Lakes,Large City,0.8608,21747,21203,22,1030,0.717,0.0822,0.0759,0.0596,0.0043,0.0008,0.0314,0.0271,0.1399,21203,8301,8037,0.9599,0.3567,0.4141,0.7007,0.2233,17459,25107.5,11000,0.959999979,0.449999988,21.37999916,73393.86,66757,6.309999943,549,6040,40900,38100,1
University of Toledo,Public,Great Lakes,Large City,0.9073,15440,21263,22,1031,0.6947,0.139,0.0447,0.0233,0.0021,0.0008,0.025,0.0443,0.1615,21263,12173,8426,0.7192,0.3792,0.4543,0.6805,0.1591,14500,24994,9500,0.949999988,0.540000021,21.43000031,65254.02,57163,7.769999981,498,4974,43600,37600,1
University of Akron Main Campus,Public,Great Lakes,Mid-size City,0.9649,19022,21338,22,1016,0.743,0.1394,0.0214,0.0213,0.0022,0.0012,0.0285,0.0141,0.1875,21338,8567,9209,0.4845,0.4149,0.4166,0.6636,0.2088,15000,26812,10261.5,0.930000007,0.620000005,22.92000008,53437.74,42489,8.119999886,748,5110,35200,31800,1
University of Illinois at Springfield,Public,Great Lakes,Mid-size City,0.5977,2959,21385,24,1085,0.6773,0.1338,0.0595,0.0368,0.0014,0.001,0.0247,0.0291,0.3437,21385,10685,7464,0.6066,0.3677,0.4308,0.7435,0.4123,15000,19498,11129,0.889999986,0.550000012,25.20999908,54554.28,42542.5,7.53000021,68,793,42700,40000,1
University of Nevada-Reno,Public,Far West,Mid-size City,0.8396,15310,21398,24,1081,0.646,0.0354,0.1631,0.0656,0.0079,0.0057,0.0598,0.0123,0.1562,21398,14946,9233,0.9281,0.2884,0.5139,0.7989,0.1501,12000,18743.5,8120,0.860000014,0.529999971,23.05999947,61238.62,45534,6.380000114,238,1968,47000,41800,1
The University of Texas at Arlington,Public,Southwest,Large City,0.5998,25415,21420,23,1077,0.3964,0.147,0.2556,0.1177,0.0029,0.0022,0.0323,0.0391,0.3741,21420,6782,8272,0.6343,0.4039,0.4041,0.7083,0.3526,12834,19608,9738,0.889999986,0.620000005,23.21999931,51136.11,36358,8.239999771,631,5991,46100,42900,1
Colorado State University-Fort Collins,Public,Rocky Mountains,Mid-size City,0.7743,22482,21823,25,1127,0.7495,0.021,0.096,0.019,0.0033,0.0009,0.0346,0.0251,0.1024,21823,10417,8869,0.6959,0.2571,0.6383,0.8591,0.107,16707.5,21250,9750,0.930000007,0.439999998,20.79000092,81929.11,69107,5.110000134,537,5053,44200,39500,1
University of Louisville,Public,Southeast,Large City,0.7112,15023,21922,25,1142,0.7686,0.1146,0.0363,0.0308,0.0014,0.0005,0.0355,0.0105,0.1812,21922,15806,9373,0.6602,0.2999,0.5343,0.7788,0.2065,13300,21500,9250,0.879999995,0.560000002,22.12000084,58745.22,45597.5,8.75,323,2710,40200,35800,1
Arizona State University-Tempe,Public,Southwest,Mid-size City,0.8023,38480,21960,25,1145,0.5755,0.0398,0.1853,0.0677,0.0136,0.0025,0.0376,0.0715,0.0943,21960,9080,10405,0.8787,0.3376,0.5947,0.844,0.1414,16250,20375,11000,0.879999995,0.589999974,22.55999947,63334.02,43477,7.710000038,1444,11691,46000,41200,1
Georgia Institute of Technology,Public,Southeast,Large City,0.171,13975,21980,30,1352,0.553,0.0628,0.065,0.175,0.0013,0.0009,0.0323,0.1048,0.056,21980,13939,11230,0.9568,0.1932,0.8219,0.9552,0.0437,20750,22750,14000,0.920000017,0.419999987,20.03000069,94533.48,82697,6.269999981,154,2243,69300,65700,1
Cleveland State University,Public,Great Lakes,Large City,0.6287,11484,22041,22,1030,0.6276,0.1919,0.0489,0.0245,0.0021,0.0011,0.0269,0.0477,0.2261,22041,8213,8624,1,0.4344,0.3198,0.6721,0.3078,16500,24000,11888,0.930000007,0.610000014,24.70999908,43936.8,31001,9.920000076,446,3143,39900,36900,1
Rutgers University-Newark,Public,Mid-Atlantic,Large City,0.5401,6748,22046,0,1059,0.257,0.1867,0.2447,0.2208,0.0012,0.0049,0.0292,0.0313,0.1369,22046,15947,12617,0.5983,0.4637,0.6752,0.7422,0.2213,19500,22250,13000,0.930000007,0.5,20.97999954,76131.15,59041,6.019999981,1048,10583,55700,50300,1
University of Houston,Public,Southwest,Large City,0.5841,30357,22215,25,1136,0.2843,0.1155,0.2998,0.2122,0.0015,0.0026,0.0311,0.0464,0.2596,22215,7456,10569,0.8759,0.3879,0.4754,0.8463,0.1935,14878,20426,10000,0.850000024,0.649999976,22.10000038,48647.14,33211,9.920000076,801,6876,51000,45200,1
San Francisco State University,Public,Far West,Large City,0.6379,25271,22267,22,998,0.2409,0.0499,0.2436,0.2917,0.0022,0.006,0.0572,0.0668,0.1359,22267,7919,9147,0.4877,0.4239,0.455,0.8211,0.2085,15000,17775,12000,0.790000021,0.670000017,22.86000061,46467.57,29962,7.829999924,896,6041,45800,42100,1
Northeastern Illinois University,Public,Great Lakes,Large City,0.5981,8827,22273,19,890,0.3694,0.1022,0.3506,0.0947,0.0022,0.0031,0.0176,0.0358,0.431,22273,11837,6988,0.6473,0.4823,0.2034,0.61,0.448,11643.5,15000,8940,0.540000021,0.779999971,24.63999939,35049.57,25711.5,11.56000042,331,2059,35400,33100,1
The University of Texas at Dallas,Public,Southwest,Mid-size City,0.5857,13042,22381,28,1262,0.4035,0.0636,0.1677,0.265,0.0021,0.002,0.0389,0.0432,0.185,22381,9848,12416,0.7285,0.354,0.6291,0.8811,0.2376,15080.5,19500,10250,0.899999976,0.550000012,23.36000061,54836.23,39445.5,6.309999943,275,2379,51200,46800,1
University of Missouri-Columbia,Public,Great Plains,Mid-size City,0.7861,26585,22387,26,1165,0.7989,0.0822,0.0332,0.0224,0.0025,0.0005,0.0253,0.0273,0.0533,22387,10752,8788,0.7053,0.216,0.7012,0.8353,0.0385,17500,22500,10500,0.970000029,0.349999994,20.28000069,89631.5,80508.5,6.239999771,405,5572,46700,41200,1
University of Oregon,Public,Far West,Mid-size City,0.7417,20473,22390,25,1108,0.6425,0.0199,0.0813,0.0513,0.0052,0.0048,0.0584,0.1242,0.0782,22390,11641,8828,0.7024,0.2585,0.6653,0.8672,0.0847,18309,21535,10333,0.949999988,0.50999999,21.72999954,71151.8,54318,7.28000021,517,4089,42200,38000,1
University of Kentucky,Public,Southeast,Large City,0.6861,21050,22420,25,1140,0.778,0.0779,0.0326,0.0247,0.0017,0.0007,0.0285,0.0262,0.0593,22420,10793,9614,0.8206,0.2481,0.6184,0.8253,0.0824,14000,20500,9250,0.920000017,0.439999998,21.12999916,71446.07,57564,9.06000042,413,4583,45300,39300,1
SUNY College of Environmental Science and Forestry,Public,Mid-Atlantic,Mid-size City,0.5052,1694,22550,25,1155,0.8725,0.013,0.0242,0.0272,0.0018,0.0006,0.0236,0.0171,0.0295,22550,15891,8282,0.7439,0.2676,0.716,0.8567,0.0905,17124,20000,11500,0.959999979,0.50999999,21.02000046,76789.5,67355,7.380000114,57,499,41800,38200,1
Georgia State University,Public,Southeast,Large City,0.5466,24128,23124,23,1060,0.3138,0.397,0.0895,0.1135,0.0017,0.0011,0.0434,0.0163,0.2429,23124,7273,7149,0.9722,0.5089,0.5315,0.8232,0.2258,17070,23000,12500,0.870000005,0.660000026,22.56999969,53412.71,38306,7.78000021,645,4915,40500,37500,1
University of Missouri-Kansas City,Public,Great Plains,Large City,0.33,8309,23437,24,1105,0.5772,0.1634,0.0699,0.065,0.0034,0.0019,0.0311,0.0375,0.1938,23437,15048,8305,0.6246,0.3208,0.5131,0.733,0.2499,15750,21187,11000,0.949999988,0.519999981,23.30999947,57316.66,40642,7.360000134,286,2524,47400,41300,1
University of South Carolina-Columbia,Public,Southeast,Mid-size City,0.606,23987,23685,27,1200,0.7709,0.1016,0.0406,0.0228,0.0025,0.0011,0.0321,0.0113,0.0658,23685,10384,9514,0.7128,0.2394,0.7268,0.8738,0.067,19125,22500,13500,0.949999988,0.439999998,20.89999962,76756.24,63282.5,8.430000305,439,4951,45600,38700,1
University of Wisconsin-Madison,Public,Great Lakes,Mid-size City,0.6792,29504,23718,28,1268,0.7713,0.0215,0.0459,0.0551,0.0022,0.0012,0.0264,0.0725,0.0448,23718,14278,10758,0.972,0.1501,0.8284,0.9517,0.0554,21000,23000,13000,0.939999998,0.349999994,20.25,95485.12,87726,4.840000153,364,5177,57000,48200,1
University of Arizona,Public,Southwest,Large City,0.7692,31399,23905,24,1106,0.5464,0.0333,0.2444,0.0561,0.0106,0.0021,0.0417,0.055,0.099,23905,11382,10320,0.7478,0.3265,0.6139,0.8148,0.091,13500,19000,9279,0.860000014,0.600000024,21.52000046,68621.67,46758,9.289999962,703,5942,46400,40000,1
University of Minnesota-Twin Cities,Public,Great Plains,Large City,0.4442,30271,24278,28,1270,0.7147,0.0381,0.0302,0.0858,0.0028,0.0007,0.033,0.0873,0.0794,24278,13003,10892,0.8394,0.2169,0.754,0.9022,0.1111,18822,21500,12750,0.949999988,0.400000006,20.87000084,80969.01,72908.5,5.320000172,600,7705,49500,43300,1
Ohio State University-Main Campus,Public,Great Lakes,Large City,0.5553,43139,24524,29,1289,0.7233,0.0598,0.0338,0.0539,0.0016,0.0006,0.0263,0.0743,0.0756,24524,16161,11284,0.6513,0.2224,0.8323,0.9245,0.0844,17000,22250,9500,0.930000007,0.5,21.04000092,75442.68,65600.5,6.510000229,1032,11887,43800,38900,1
University of Washington-Seattle Campus,Public,Far West,Large City,0.5523,28754,24606,28,1234,0.4399,0.0267,0.0692,0.2422,0.0066,0.0048,0.0518,0.1407,0.0605,24606,23645,10461,0.7258,0.2489,0.8183,0.9303,0.0996,14793.5,16326,11400,0.870000005,0.540000021,22.63999939,55950.49,38703,6.570000172,678,6080,56400,48300,1
The University of Tennessee-Knoxville,Public,Southeast,Mid-size City,0.7249,20948,24746,27,1199,0.8059,0.0735,0.0277,0.0285,0.0025,0,0.028,0.0151,0.0603,24746,20792,9976,0.832,0.2991,0.6754,0.8563,0.0883,15250,20338.5,9613.5,0.899999976,0.5,21.12000084,72817.34,55229,8.279999733,435,4613,48300,39000,1
College of Charleston,Public,Southeast,Mid-size City,0.7031,10150,25086,26,1165,0.8241,0.0628,0.0416,0.0162,0.0014,0.0016,0.0329,0.0078,0.0521,25086,8234,7747,0.6435,0.2257,0.6448,0.8262,0.0853,17000,22341,9500,0.949999988,0.409999996,20.57999992,90152.6,71255,7.679999828,212,1964,39700,35800,1
The University of Texas at Austin,Public,Southwest,Large City,0.4019,39323,25176,28,1262,0.4754,0.0429,0.2182,0.1792,0.0022,0.0011,0.0314,0.0465,0.0693,25176,16906,10900,0.9068,0.2683,0.7944,0.9363,0.0508,20500,22165,14000,0.939999998,0.50999999,20.18000031,79614.32,62086,9.010000229,643,7763,58900,48600,1
University of Illinois at Chicago,Public,Great Lakes,Large City,0.714,16601,25248,24,1092,0.3791,0.0781,0.2474,0.2251,0.0014,0.0042,0.0245,0.0197,0.0749,25248,25773,9797,0.6538,0.4906,0.5669,0.7978,0.1105,14750,18532.5,8750,0.810000002,0.589999974,21.06999969,55560.29,41721,8.109999657,574,5090,54400,47000,1
Virginia Commonwealth University,Public,Southeast,Mid-size City,0.6913,22049,25291,24,1102,0.5162,0.1842,0.0754,0.1213,0.0026,0.0029,0.0463,0.0293,0.1181,25291,12826,8242,0.6627,0.2865,0.5681,0.8659,0.1501,19125,24750,11750,0.959999979,0.519999981,21.42000008,69541.5,55696,6.539999962,381,4656,42700,38600,1
University of Michigan-Ann Arbor,Public,Great Lakes,Mid-size City,0.3326,28077,25760,30,1352,0.6272,0.0436,0.0412,0.1222,0.0016,0.0004,0.031,0.0667,0.0302,25760,22051,10509,0.8026,0.157,0.8997,0.9688,0.0198,21000,22000,15000,0.959999979,0.300000012,20.87999916,87306.5,69630,5.889999866,388,4565,65900,53400,1
University of Cincinnati-Main Campus,Public,Great Lakes,Large City,0.7325,23360,25799,25,1141,0.7647,0.0764,0.026,0.0296,0.0022,0.001,0.0226,0.0412,0.1319,25799,10476,9079,0.4632,0.2658,0.579,0.8462,0.1563,15000,23947.5,9500,0.939999998,0.519999981,23,64379.94,50863,7.110000134,909,7427,40300,36200,1
Temple University,Public,Mid-Atlantic,Large City,0.6387,27511,27247,25,1121,0.6028,0.1352,0.0542,0.1011,0.0019,0.0009,0.0232,0.0348,0.1058,27247,12500,9648,0.5007,0.3352,0.6632,0.8883,0.1241,21700,25799,13751,0.959999979,0.5,21.32999992,70311.21,56155,8.350000381,861,7930,49500,43600,1
University of California-Irvine,Public,Far West,Mid-size City,0.4239,23517,28980,24,1122,0.1739,0.0187,0.2171,0.4371,0.0016,0.0042,0.0396,0.0894,0.0171,28980,17853,12839,0.7884,0.432,0.8585,0.9175,0.0442,15500,17414,10788.5,0.850000024,0.579999983,20.19000053,67260.78,50385,8.710000038,471,3936,52000,47100,1
University of California-San Diego,Public,Far West,Large City,0.375,23792,29751,28,1276,0.2357,0.0119,0.1581,0.4011,0.0013,0.0041,0.0476,0.1181,0.0271,29751,22757,13126,0.8344,0.4274,0.858,0.942,0.0605,18463,19266,15116,0.889999986,0.660000026,20.20000076,58621.21,41248,8.680000305,517,4204,56800,50100,1
University of California-Riverside,Public,Far West,Large City,0.62,18612,29787,23,1078,0.1442,0.0487,0.3589,0.3615,0.0016,0.0039,0.0354,0.0315,0.0223,29787,10473,11324,0.824,0.564,0.6617,0.8898,0.0473,17000,19500,10379,0.860000014,0.699999988,20.07999992,57708.66,43078.5,11.28999996,479,3984,43800,41100,1
University of Pittsburgh-Pittsburgh Campus,Public,Mid-Atlantic,Large City,0.5613,18304,30410,28,1258,0.7683,0.0546,0.0259,0.0752,0.0004,0.0005,0.0287,0.0333,0.0475,30410,16506,9533,0.7478,0.1706,0.8044,0.9087,0.0665,22000,26896.5,10596,0.980000019,0.379999995,20.93000031,79347.41,71893,6.889999866,410,5951,51000,45600,1
University of California-Los Angeles,Public,Far West,Large City,0.2199,28667,31474,28,1289,0.2859,0.0261,0.1842,0.3099,0.0012,0.0036,0.0482,0.1176,0.0206,31474,38489,15089,0.7082,0.3624,0.9031,0.9626,0.0532,15200,15900,13244.5,0.860000014,0.660000026,20.92000008,54271.79,34557.5,10.07999992,693,5287,60000,51000,1
University of California-Berkeley,Public,Far West,Mid-size City,0.18,25951,32715,30,1350,0.2857,0.0221,0.132,0.3494,0.0012,0.0028,0.0453,0.1313,0.0282,32715,18072,14652,0.7304,0.3237,0.9103,0.9637,0.0621,14480,14667,14147,0.839999974,0.670000017,20.78000069,60121.12,39266,8.56000042,692,4340,62500,53000,1
The University of Tampa,Private,Southeast,Large City,0.5221,6476,37714,24,1075,0.5923,0.0576,0.12,0.0134,0.0019,0.0012,0.0236,0.1039,0.0451,37714,6103,8424,1,0.2473,0.6159,0.751,0.0725,17550.5,25975,8580,0.959999979,0.419999987,21.01000023,81805.23,66421,6.199999809,159,1426,44000,40200,1
Calvin College,Private,Great Lakes,Mid-size City,0.6975,3895,39013,26,1183,0.7504,0.0254,0.0347,0.0426,0.0033,0,0.0257,0.0986,0.0226,39013,13845,7208,0.9881,0.2326,0.7273,0.8741,0.0192,22500,26870,12500,0.980000019,0.370000005,19.65999985,97807.66,93258,5.46999979,114,1062,41100,38100,1
Southern New Hampshire University,Private,New England,Mid-size City,0.7866,17172,39677,0,965,0.2893,0.0518,0.0179,0.0078,0.0046,0.0005,0.0019,0.0249,0.4606,39677,2810,6991,1,0.4058,0.542,0.6918,0.6234,7688,22500,6498,0.970000029,0.409999996,24.46999931,70725.24,56925,5.070000172,169,1530,41100,38200,1
Howard University,Private,Mid-Atlantic,Large City,0.493,6855,40129,24,1081,0.0134,0.9183,0.0036,0.013,0.0197,0.0039,0,0.028,0.0613,40129,22191,8566,0.7495,0.4494,0.6065,0.8154,0.086,24250,27000,15750,0.949999988,0.579999983,20.96999931,63421.37,47531,10.55000019,166,1712,46400,42400,1
Belmont University,Private,Southeast,Large City,0.7987,5465,41450,27,1193,0.8201,0.0401,0.0428,0.0161,0.0024,0.0004,0.0326,0.0082,0.0655,41450,8976,8450,0.478,0.1756,0.6796,0.8333,0.0848,19173,23250,8750.5,0.959999979,0.340000004,21.15999985,98697.97,83588,6.179999828,84,1048,42100,37600,1
Duquesne University,Private,Mid-Atlantic,Large City,0.7409,5944,42280,25,1122,0.8383,0.0421,0.0269,0.0185,0.0013,0.001,0.0217,0.0387,0.035,42280,10729,8863,0.4849,0.2023,0.7688,0.8761,0.0536,25500,27000,12000,0.980000019,0.330000013,20.95999908,90458.69,81511,6.449999809,124,2209,59700,51600,1
Drake University,Private,Great Plains,Mid-size City,0.6595,3310,42477,28,1240,0.7937,0.0323,0.0326,0.0447,0.0018,0.0006,0.013,0.0695,0.0402,42477,9273,9108,0.6646,0.1715,0.727,0.875,0.0476,21500,25000,12000,0.980000019,0.310000002,20.27000046,97812.93,88132.5,4.710000038,54,1071,60300,48000,1
Xavier University,Private,Great Lakes,Large City,0.6997,4452,45080,25,1132,0.7302,0.1,0.0449,0.0229,0.0027,0.0011,0.0252,0.0173,0.0685,45080,10197,8089,0.5342,0.1827,0.7646,0.8344,0.0816,24000,27000,10500,0.980000019,0.340000004,21.62000084,100738.63,88138,6.46999979,57,926,48400,43700,1
Creighton University,Private,Great Plains,Large City,0.7665,3943,46248,27,1214,0.7375,0.0249,0.0697,0.0933,0.0048,0.0036,0.0401,0.018,0.0388,46248,13789,9081,0.6756,0.191,0.7592,0.9088,0.0775,21500,23750,13950,0.970000029,0.310000002,20.80999947,101259.23,80669.5,5.650000095,54,1170,59300,51200,1
University of Dayton,Private,Great Lakes,Mid-size City,0.5297,7812,46250,27,1181,0.8178,0.0288,0.0287,0.0125,0.001,0.0003,0.0105,0.0893,0.0475,46250,10823,8494,0.619,0.1188,0.7674,0.8858,0.0322,23250,26863,11384,0.99000001,0.25999999,19.75,122480.57,108917.5,4.710000038,100,1914,49600,45900,1
Trinity University,Private,Southwest,Large City,0.6393,2127,46274,29,1270,0.559,0.0362,0.1707,0.0644,0.0024,0.0005,0.0381,0.0686,0.0108,46274,14743,9715,0.7911,0.1549,0.8162,0.9563,0.0116,18500,21630,9500,0.980000019,0.280000001,19.56999969,112397.83,101012.5,6.75,37,457,54600,49600,1
DePaul University,Private,Great Lakes,Large City,0.5987,16120,46375,26,1163,0.5561,0.0837,0.1717,0.073,0.001,0.0021,0.0371,0.0265,0.1591,46375,11612,10392,0.5034,0.3448,0.7047,0.8536,0.2019,20500,24165.5,13475,0.949999988,0.529999971,22.28000069,74671.61,54683,7.139999866,487,3964,49400,44800,1
Gonzaga University,Private,Far West,Mid-size City,0.6651,4830,46475,27,1204,0.7375,0.0101,0.0861,0.0387,0.0056,0.0046,0.0578,0.0271,0.0104,46475,9687,8626,0.5886,0.1879,0.8228,0.9425,0.0298,26035,27000,16049.5,0.970000029,0.370000005,20.57999992,102446.28,87057,6.840000153,82,1107,52500,47900,1
University of Tulsa,Private,Southwest,Large City,0.4059,3394,46560,29,1279,0.5524,0.0451,0.0418,0.0327,0.0392,0.0012,0.0171,0.2563,0.0359,46560,16047,9672,0.7755,0.1557,0.6882,0.9034,0.0595,20500,25000,11000,0.939999998,0.460000008,21.12000084,79960.34,64324,7.329999924,65,688,50700,41400,1
Marquette University,Private,Great Lakes,Large City,0.5745,8190,46649,27,1217,0.7418,0.0454,0.0933,0.0463,0.0018,0.0011,0.033,0.0348,0.0237,46649,9995,9665,0.5544,0.1689,0.7824,0.9071,0.0268,24760,27000,11000,0.980000019,0.280000001,20.17000008,105199.44,93069,5.170000076,111,2278,57800,52300,1
Loyola University New Orleans,Private,Southeast,Large City,0.8707,2910,46676,25,1143,0.5127,0.1598,0.1581,0.0354,0.0058,0.0003,0.0357,0.032,0.0649,46676,11302,8612,0.7682,0.2972,0.5486,0.8039,0.0679,18500,26070,11250,0.970000029,0.379999995,20.77000046,88998.94,72625,9.220000267,111,896,43500,40500,1
Butler University,Private,Great Lakes,Large City,0.661,3998,47010,28,1212,0.8269,0.0353,0.032,0.0283,0.002,0,0.014,0.0225,0.0125,47010,12922,7980,1,0.1739,0.7386,0.911,0.0185,25000,26600,10975,0.980000019,0.25,20.09000015,109689.19,99069,4.820000172,46,1112,62400,50700,1
Clark University,Private,New England,Mid-size City,0.6154,2312,47248,0,0,0.6207,0.0389,0.064,0.0554,0.0004,0.0004,0.0229,0.1211,0.0216,47248,10780,9630,0.5838,0.2071,0.8094,0.8859,0.0303,23000,26000,10250,0.939999998,0.409999996,20.62000084,88024.49,75720.5,6.489999771,46,568,41500,38800,1
Loyola University Chicago,Private,Great Lakes,Large City,0.914,9931,47727,27,1195,0.6138,0.0354,0.1266,0.1131,0.001,0.0015,0.0575,0.03,0.0755,47727,11462,9432,0.5019,0.299,0.7101,0.8541,0.0804,22934,25751,11000,0.970000029,0.430000007,20.51000023,85748.31,67583.5,6.300000191,281,2324,50600,45500,1
University of Detroit Mercy,Private,Great Lakes,Large City,0.6147,2871,48027,25,1142,0.5291,0.1007,0.0286,0.032,0.0024,0.0017,0.024,0.0582,0.2351,48027,14080,8667,1,0.2873,0.5682,0.8246,0.2389,19300,25000,12673,0.959999979,0.529999971,24.95999908,58134.97,44772,10.15999985,108,843,48200,43000,1
Texas Christian University,Private,Southwest,Large City,0.4739,8597,48189,27,1206,0.738,0.0512,0.1059,0.0224,0.0098,0.0026,0.0077,0.0455,0.0335,48189,14422,10206,0.9804,0.1447,0.76,0.9021,0.0521,19500,22500,9500,0.970000029,0.360000014,20.54999924,103263.14,81852.5,6.46999979,136,1651,50700,45800,1
Illinois Institute of Technology,Private,Great Lakes,Large City,0.5697,2855,48940,28,1252,0.373,0.0683,0.1471,0.1082,0.0042,0.0042,0.0046,0.2452,0.0511,48940,12231,11256,0.5634,0.3167,0.625,0.8596,0.1459,22015,26981.5,12000,0.959999979,0.409999996,21.44000053,69130.16,55985.5,6.590000153,64,624,70000,61700,1
Savannah College of Art and Design,Private,Southeast,Mid-size City,0.6547,8750,49179,24,1078,0.5605,0.1086,0.0805,0.044,0.0056,0.0023,0.0023,0.1168,0.1621,49179,10302,8024,0.7974,0.2601,0.683,0.8071,0.1007,21521.5,27000,9500,0.980000019,0.419999987,20.45999908,95838.42,78907,7.019999981,224,1637,35800,29700,1
St John's University-New York,Private,Mid-Atlantic,Large City,0.5316,11147,50233,24,1093,0.3391,0.1931,0.1639,0.1887,0.002,0.0029,0.0432,0.0499,0.0292,50233,10743,11777,0.4538,0.3083,0.557,0.7962,0.038,20000,25920,11500,0.920000017,0.589999974,19.69000053,65214.94,49731,10.30000019,429,3984,54700,48000,1
Seattle University,Private,Far West,Large City,0.7323,4595,50610,27,1175,0.4699,0.0322,0.0908,0.1602,0.0059,0.0067,0.0694,0.1032,0.0477,50610,15139,9051,0.7077,0.2109,0.7663,0.8602,0.0677,24000,25334,11000,0.970000029,0.439999998,21.61000061,78227.76,59408,6.420000076,137,1364,52900,49500,1
University of Portland,Private,Far West,Large City,0.668,3468,51036,0,1195,0.6401,0.0087,0.0998,0.1024,0.0032,0.0141,0.079,0.0288,0.0167,51036,10427,7678,0.5985,0.2189,0.755,0.9002,0.0321,22454,25000,10000,0.970000029,0.319999993,20.42000008,98696.67,86897,6.579999924,55,821,52400,48800,1
Baylor University,Private,Southwest,Mid-size City,0.5747,13221,51086,27,1215,0.6408,0.0741,0.1386,0.0646,0.0033,0.0003,0.0473,0.0289,0.0142,51086,14046,8793,0.8148,0.22,0.7472,0.8825,0.0245,21000,25281,9500,0.949999988,0.439999998,19.79999924,93014.48,72163,7.460000038,200,2541,47700,43700,1
Emerson College,Private,New England,Large City,0.4798,3720,51158,28,1240,0.6465,0.0296,0.1022,0.0387,0.0005,0.0008,0.0457,0.0465,0.0142,51158,9283,9204,0.4357,0.1702,0.8147,0.8811,0.0194,21500,23312,8750,0.99000001,0.25999999,19.67000008,108523.09,94808,5.420000076,95,1038,42600,38900,1
Rice University,Private,Southwest,Large City,0.1674,3920,52242,33,1454,0.3944,0.0643,0.1505,0.2138,0.0015,0,0.0469,0.1145,0.0135,52242,39651,13468,0.7813,0.1723,0.9111,0.9817,0.0048,7727,8413,6125,0.910000026,0.289999992,20.45999908,91944.43,71258,7.420000076,34,491,73200,56500,1
University of the Pacific,Private,Far West,Large City,0.7265,3869,52406,26,1172,0.3223,0.0269,0.1858,0.3153,0.0067,0.0047,0.0432,0.0538,0.0238,52406,17606,10089,0.5588,0.4011,0.5669,0.8656,0.0598,21250,23500,18750,0.959999979,0.389999986,22.03000069,62103.51,40951,9.18999958,111,1339,75600,64000,1
Saint Louis University,Private,Great Plains,Large City,0.6443,7961,52413,28,1237,0.6568,0.0688,0.0329,0.0823,0.0013,0,0.0509,0.0764,0.1025,52413,16641,10028,0.5867,0.1415,0.6974,0.8683,0.0955,20500,25000,11000,0.980000019,0.330000013,20.87000084,103272.02,87461,6.179999828,119,1894,52700,48100,1
Maryland Institute College of Art,Private,Mid-Atlantic,Large City,0.5803,1892,52649,0,1175,0.5423,0.0523,0.0592,0.1173,0.0032,0.0016,0.0502,0.0782,0.0703,52649,13502,8764,0.3421,0.2429,0.7273,0.8257,0.0839,23000,27000,11125,0.99000001,0.349999994,19.98999977,99535.03,89961,5.449999809,63,439,33500,30900,1
Lewis & Clark College,Private,Far West,Large City,0.6285,1985,53455,29,1279,0.6479,0.0217,0.0841,0.0605,0.0141,0.003,0.0076,0.0494,0.0101,53455,14496,9221,0.5422,0.2135,0.7451,0.8623,0.0108,19115,22389.5,10500,0.980000019,0.270000011,20.96999931,83576.98,67573,6.480000019,50,482,42500,37600,1
University of Denver,Private,Rocky Mountains,Large City,0.7673,5505,53614,28,1231,0.6836,0.0272,0.089,0.0416,0.0051,0.0009,0.0312,0.0885,0.0701,53614,14113,8914,0.5039,0.1856,0.7752,0.8678,0.0741,20832,24500,11753,0.939999998,0.349999994,22.87000084,86015.75,55997.5,5.28000021,158,1392,53700,47600,1
Muhlenberg College,Private,Mid-Atlantic,Mid-size City,0.4616,2357,53637,28,1246,0.7709,0.0267,0.0526,0.0293,0.0017,0.0004,0.0157,0.0064,0.0297,53637,14525,8429,0.5952,0.0784,0.8584,0.9071,0.0899,24187,26941,10200,0.980000019,0.189999998,20.62999916,125281.36,110473,4.25,25,467,51700,49100,1
Yeshiva University,Private,Mid-Atlantic,Large City,0.8216,2887,53825,26,1217,0.9193,0.0007,0.0042,0.0007,0,0,0.0035,0.0578,0.0364,53825,33021,5086,0.6916,0.181,0.8519,0.929,0.0024,15358.5,19361,10500,0.889999986,0.419999987,19.62000084,109592.47,87607,8.220000267,112,420,59500,49000,1
Drexel University,Private,Mid-Atlantic,Large City,0.815,16257,53831,27,1197,0.5657,0.064,0.0564,0.1257,0.0015,0.0063,0.0263,0.1273,0.1446,53831,13309,10246,0.5358,0.2021,0.6951,0.8644,0.1823,17027.5,26098,10873,0.980000019,0.300000012,22.21999931,84469.63,69348,6.46999979,316,3828,64000,58400,1
